Nome do Produto,Complemento da Marca,Princípio Ativo ou Descrição do Medicamento Notificado,Tipo de Regularização,Número da Regularização,Número do Processo,Empresa Detentora da Regularização,Situação da Regularização,Vencimento da Regularização
CICLOVULAR,,"ALGESTONA ACETOFENIDA, ENANTATO DE ESTRADIOL",REGISTRADO,104970099,25001.009082/82,UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A - 60.665.981/0001-18,Ativo,09/2029
empagliflozina,,empagliflozina,REGISTRADO,105831024,25351.163220/2022-16,GERMED FARMACEUTICA LTDA - 45.992.062/0001-65,Ativo,10/2032
cloridrato de ciprofloxacino,,cloridrato de ciprofloxacino monoidratado,REGISTRADO,103700568,25351.426239/2009-55,LABORATÓRIO TEUTO BRASILEIRO S/A - 17.159.229/0001-76,Ativo,12/2026
FACTIVE,,mesilato de gemifloxacino,REGISTRADO,105730363,25351.371243/2005-93,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A - 60.659.463/0029-92,Ativo,11/2026
GRACIAL,,"DESOGESTREL, ETINILESTRADIOL",REGISTRADO,100290219,25351.397524/2021-96,ORGANON FARMACÊUTICA LTDA. - 45.987.013/0001-34,Ativo,03/2027
TYLEX,,"PARACETAMOL, FOSFATO DE CODEÍNA",REGISTRADO,104400227,25351.656124/2022-17,CELLERA FARMACÊUTICA S.A. - 33.173.097/0002-74,Ativo,12/2029
DESONIDA,,DESONIDA,REGISTRADO,167730258,25351.673783/2010-23,LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA - 05.044.984/0001-26,Ativo,09/2029
hidracal,,"HYDRASTIS CANADENSIS 6C, KALI BICHROMICUM 6C",NOTIFICADO,         ,,HOMEOPATIA WALDEMIRO PEREIRA LABORATORIO INDUSTRIAL FARMACEUTICO LTDA - 76.440.528/0001-43,Ativo,04/2032
NATUS GERIN,,"PANAX GINSENG C. A. MEY., TIAMINA, RIBOFLAVINA, CLORIDRATO DE PIRIDOXINA, CIANOCOBALAMINA, PALMITATO DE RETINOL, ÁCIDO ASCÓRBICO, ACETATO DE TOCOFEROL, SULFATO FERROSO, FOSFATO DE CÁLCIO DIBÁSICO, PANTOTENATO DE CALCIO, BITARTARATO DE COLINA, NICOTINAMIDA, INOSITOL, levometionina, ADENOSINA, BIOTINA, ÁCIDO FÓLICO",REGISTRADO,167730285,25351.648303/2010-77,LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA - 05.044.984/0001-26,Ativo,03/2029
Ciclopirox Olamina,,CICLOPIROX OLAMINA,REGISTRADO,183260237,25351.679434/2014-96,SANOFI MEDLEY FARMACÊUTICA LTDA. - 10.588.595/0010-92,Ativo,04/2035
SOLUÇÃO GLICOCLORETADA BASA,,"CLORETO DE SÓDIO, GLICOSE",REGISTRADO,111200001,25351.330432/2024-79,BASAL INDUSTRIA FARMACEUTICA LTDA - 36.526.169/0001-27,Ativo,07/2035
HEBLAX,,RHAMNUS PURSHIANA DC.,REGISTRADO,115570068,25351.465417/2011-91,INFAN INDUSTRIA QUIMICA FARMACEUTICA NACIONAL S/A - 08.939.548/0001-03,Ativo,12/2027
aripiprazol,,ARIPIPRAZOL,REGISTRADO,125680290,25351.366754/2014-13,PRATI DONADUZZI & CIA LTDA - 73.856.593/0001-66,Ativo,08/2029
cloridrato de fingolimode,,cloridrato de fingolimode,REGISTRADO,155730040,25351.545165/2017-11,TEVA FARMACÊUTICA LTDA. - 05.333.542/0001-08,Ativo,05/2028
COLTRAX,,tiocolchicosídeo,REGISTRADO,100431471,25351.322708/2023-64,EUROFARMA LABORATÓRIOS S.A. - 61.190.096/0001-92,Ativo,10/2026
DEZLORBE,,DESLORATADINA,REGISTRADO,196240010,25351.446005/2024-10,KYMBERG FARMACEUTICA DO BRASIL LTDA - 43.056.264/0001-70,Ativo,04/2035
Perjeta,,pertuzumabe,REGISTRADO,101000657,25351.115665/2012-17,PRODUTOS ROCHE QUÍMICOS E FARMACÊUTICOS S.A. - 33.009.945/0001-23,Ativo,05/2028
ALFAEPOETINA,,"ALFAEPOETINA, ERITROPOETINA HUMANA RECOMBINANTE",REGISTRADO,116370059,25351.195167/2002-61,BLAU FARMACÊUTICA S.A. - 58.430.828/0001-60,Ativo,04/2030
micofenolato de mofetila,,micofenolato de mofetila,REGISTRADO,165070037,25351.448208/2024-32,Camber Farmaceutica Ltda - 24.633.934/0001-29,Ativo,02/2035
SCOLYDRIN,,CYNARA SCOLYMUS L.,REGISTRADO,102351371,25351.289764/2021-18,EMS S/A - 57.507.378/0003-65,Ativo,05/2031
SPRAVATO,,cloridrato de escetamina,REGISTRADO,112363435,25351.068398/2019-41,JANSSEN-CILAG FARMACÊUTICA LTDA - 51.780.468/0001-87,Ativo,11/2030
VIZURIA,,FOSFOMICINA TROMETAMOL,REGISTRADO,135640012,25351.407107/2020-88,EXELTIS LABORATORIO FARMACEUTICO LTDA - 19.136.432/0001-52,Ativo,08/2033
CIALIS,CIALIS DIÁRIO,TADALAFILA,REGISTRADO,112600074,25351.035707/01-51,ELI LILLY DO BRASIL LTDA - 43.940.618/0001-44,Ativo,01/2028
ezetimiba,,EZETIMIBA,REGISTRADO,155840553,25351.642373/2017-50,BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A - 05.161.069/0001-10,Ativo,02/2028
simeticona,,SIMETICONA 75 MG/ML (EMULSÃO ORAL) C,NOTIFICADO,         ,,IFAL INDUSTRIA E COMERCIO DE PRODUTOS FARMAC LTDA - 00.376.959/0001-26,Ativo,01/2027
OSTEOTRAT,,RISEDRONATO SÓDICO HEMIPENTAIDRATADO,REGISTRADO,105730418,25351.823545/2010-07,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A - 60.659.463/0029-92,Ativo,03/2027
Pemetrexede Dissódico,,pemetrexede dissódico,REGISTRADO,100431234,25351.212679/2017-31,EUROFARMA LABORATÓRIOS S.A. - 61.190.096/0001-92,Ativo,04/2028
EFLUELDA TIV,,"Cepa influenza tipo A (H1N1), Cepa influenza tipo A (H3N2), Cepa influenza tipo B",REGISTRADO,183260347,25351.190279/2019-73,SANOFI MEDLEY FARMACÊUTICA LTDA. - 10.588.595/0010-92,Ativo,10/2028
TRIUMEQ,,"dolutegravir sódico, SULFATO DE ABACAVIR, LAMIVUDINA",REGISTRADO,101070326,25351.177449/2014-35,GLAXOSMITHKLINE BRASIL LTDA - 33.247.743/0001-10,Ativo,03/2027
hidrabene,,"SAIS PARA REIDRATAÇÃO ORAL (CLORETO DE SÓDIO 3,5G + CLORETO DE POTÁSSIO 1,5G + CITRATO DE SÓDIO DI-HIDRATADO 2,9G + GLICOSE 20G) C",NOTIFICADO,         ,,LEGRAND PHARMA INDUSTRIA FARMACEUTICA LTDA - 05.044.984/0001-26,Ativo,06/2027
PLAVINEO,,BISSULFATO DE CLOPIDOGREL,REGISTRADO,155840501,25351.011124/2011-11,BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A - 05.161.069/0001-10,Ativo,04/2026
TRANEGER,,ÁCIDO TRANEXÂMICO,REGISTRADO,105830911,25351.644714/2014-89,GERMED FARMACEUTICA LTDA - 45.992.062/0001-65,Ativo,09/2027
Anfissus,,POMADA PARA FISSURAS DE PERÍNEO C,NOTIFICADO,         ,,LABORATORIO TAYUYNA LTDA - 60.879.848/0001-64,Ativo,12/2027
marclorhex scrub/marclorhex,,GLICONATO DE CLOREXIDINA 2% (SOLUÇÃO COM TENSOATIVOS) C,NOTIFICADO,         ,,CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA. - 44.734.671/0001-51,Ativo,03/2030
BRIDION,,SUGAMADEX SÓDICO,REGISTRADO,101710179,25351.058731/2008-51,MERCK SHARP & DOHME FARMACEUTICA LTDA. - 03.560.974/0001-18,Ativo,10/2029
LUFTAFEM,,"IBUPROFENO, PARACETAMOL",REGISTRADO,173900011,25351.444533/2020-01,RECKITT BENCKISER (BRASIL) LTDA - 59.557.124/0001-15,Ativo,09/2030
ibuprofeno,,IBUPROFENO,REGISTRADO,154230307,25351.000653/2018-77,GEOLAB INDÚSTRIA FARMACÊUTICA S/A - 03.485.572/0001-04,Ativo,04/2030
kalicid,,COLÓDIO LACTO-SALICILADO 20% (SOLUÇÃO) C,NOTIFICADO,         ,,BELFAR LTDA - 18.324.343/0001-77,Ativo,05/2026
linezolida,,LINEZOLIDA,REGISTRADO,110850047,25351.927963/2020-55,FARMACE INDÚSTRIA QUÍMICO-FARMACÊUTICA CEARENSE LTDA - 06.628.333/0001-46,Ativo,04/2033
LUNAH,,HIALURONATO DE SÓDIO,REGISTRADO,102980529,25351.632174/2019-03,CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA. - 44.734.671/0001-51,Ativo,07/2030
NUCALA,,mepolizumabe,REGISTRADO,101070335,25351.486953/2015-34,GLAXOSMITHKLINE BRASIL LTDA - 33.247.743/0001-10,Ativo,08/2027
Amoxicilina + clavulanato de Potássio,,"AMOXICILINA TRI-hIDRATADA, CLAVULANATO DE POTÁSSIO",REGISTRADO,104400203,25351.575199/2017-22,CELLERA FARMACÊUTICA S.A. - 33.173.097/0002-74,Ativo,02/2028
CARBAMAZEPINA,,CARBAMAZEPINA,REGISTRADO,103700472,25351.076855/2005-75,LABORATÓRIO TEUTO BRASILEIRO S/A - 17.159.229/0001-76,Ativo,08/2035
ONO,,ONDANSETRONA,REGISTRADO,146820107,25351.284202/2021-88,SUN FARMACÊUTICA DO BRASIL LTDA - 05.035.244/0001-23,Ativo,
CLORIDRATO DE DULOXETINA,,CLORIDRATO DE DULOXETINA,REGISTRADO,105730603,25351.849207/2018-63,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A - 60.659.463/0029-92,Ativo,08/2035
cloridrato de fingolimode,,cloridrato de fingolimode,REGISTRADO,112060024,25351.322775/2018-11,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE - 24.365.710/0001-83,Ativo,07/2028
levetiracetam,,LEVETIRACETAM,REGISTRADO,102351429,25351.000226/2021-94,EMS S/A - 57.507.378/0003-65,Ativo,09/2033
MULKSIN,,CLORIDRATO DE AMBROXOL,REGISTRADO,118190362,25351.065413/2022-02,MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA - 92.265.552/0009-05,Ativo,04/2029
SIMETICONA COMPRIMIDO,,SIMETICONA 40 MG (COMPRIMIDO) C,NOTIFICADO,         ,,PHARMASCIENCE INDUSTRIA FARMACEUTICA S.A - 25.773.037/0001-83,Ativo,12/2034
alendronato de sódio,,alendronato de sódio,REGISTRADO,104400205,25351.018319/2018-70,CELLERA FARMACÊUTICA S.A. - 33.173.097/0002-74,Ativo,03/2028
DESALEX D12,,"DESLORATADINA, SULFATO DE PSEUDOEFEDRINA",REGISTRADO,100290187,25351.303129/2014-01,ORGANON FARMACÊUTICA LTDA. - 45.987.013/0001-34,Ativo,05/2029
losartana potássica,,losartana potássica,REGISTRADO,125680202,25351.312456/2008-26,PRATI DONADUZZI & CIA LTDA - 73.856.593/0001-66,Ativo,01/2029
MYCAMINE,,MICAFUNGINA SÓDICA,REGISTRADO,100470661,25351.147605/2024-90,SANDOZ DO BRASIL INDÚSTRIA FARMACÊUTICA LTDA - 61.286.647/0001-16,Ativo,04/2025
AZITROGRAN,,AZITROMICINA,REGISTRADO,167730545,25351.120926/2017-18,LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA - 05.044.984/0001-26,Ativo,04/2027
SULFATO DE MAGNÉSIO,,SULFATO DE MAGNÉSIO,REGISTRADO,155920005,25351.045769/2003-59,Samtec Biotecnologia Limitada - 04.459.117/0001-99,Ativo,10/2029
BETADINE XR,,DICLORIDRATO DE BETAISTINA,REGISTRADO,105730730,25351.216517/2016-04,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A - 60.659.463/0029-92,Ativo,11/2029
KNORTEX,,"CETOCONAZOL, DIPROPIONATO DE BETAMETASONA, SULFATO DE NEOMICINA",REGISTRADO,118190197,25351.854337/2018-18,MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA - 92.265.552/0009-05,Ativo,10/2029
RIZI-M,,"MONTELUCASTE de SÓDIO, DICLORIDRATO DE LEVOCETIRIZINA",REGISTRADO,178170873,25351.701448/2018-22,COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A. - 61.082.426/0002-07,Ativo,05/2029
CEFALOTINA SÓDICA,,CEFALOTINA SODICA,REGISTRADO,100410215,25351.936256/2020-50,FRESENIUS KABI BRASIL LTDA - 49.324.221/0001-04,Ativo,02/2026
TOPIRAMATO,,TOPIRAMATO,REGISTRADO,156510031,25351.332905/2008-52,ZYDUS NIKKHO FARMACÊUTICA LTDA - 05.254.971/0001-81,Ativo,05/2026
DISPETIC,,pantoprazol magnésico di-hidratado,REGISTRADO,105730031,25351.319231/2022-59,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A - 60.659.463/0029-92,Ativo,11/2032
MIND,,OXALATO DE ESCITALOPRAM,REGISTRADO,109740243,25351.297527/2017-44,BIOLAB SANUS FARMACÊUTICA LTDA - 49.475.833/0001-06,Ativo,09/2027
RAPAMUNE,,SIROLIMO,REGISTRADO,121100453,25351.190262/2019-16,PFIZER BRASIL LTDA - 61.072.393/0001-33,Ativo,04/2035
SOTYKTU,,DEUCRAVACITINIBE,REGISTRADO,101800415,25351.531418/2021-48,BRISTOL-MYERS SQUIBB FARMACÊUTICA LTDA - 56.998.982/0001-07,Ativo,11/2033
ácido zoledrônico,,ácido zoledrônico monoidratado,REGISTRADO,100431026,25351.515342/2009-83,EUROFARMA LABORATÓRIOS S.A. - 61.190.096/0001-92,Ativo,01/2035
acetato de dexametasona,,ACETATO DE DEXAMETASONA,REGISTRADO,105350195,25351.336573/2017-76,LABORATÓRIO GLOBO SA - 17.115.437/0001-73,Ativo,07/2027
ACIDOGEL,,"SUSPENSÃO DE HIDRÓXIDO DE ALUMÍNIO, HIDRÓXIDO DE MAGNÉSIO E SIMETICONA C",NOTIFICADO,         ,,LABORATORIO GLOBO SA - 17.115.437/0001-73,Ativo,08/2034
LACYD,,lacosamida,REGISTRADO,156510114,25351.631054/2023-67,ZYDUS NIKKHO FARMACÊUTICA LTDA - 05.254.971/0001-81,Ativo,03/2034
citrato de sildenafila,,CITRATO DE SILDENAFILA,REGISTRADO,126250101,25351.068508/2014-78,LABORATÓRIO FARMACÊUTICO DA MARINHA - 00.394.502/0071-57,Ativo,07/2026
PLUVICTO,,VIPIVOTIDA TETRAXETANA (177 LU),REGISTRADO,100681186,25351.636049/2022-60,NOVARTIS BIOCIENCIAS S.A - 56.994.502/0001-30,Ativo,12/2033
vildagliptina,,VILDAGLIPTINA,REGISTRADO,123520293,25351.110918/2022-21,RANBAXY FARMACÊUTICA LTDA - 73.663.650/0001-90,Ativo,12/2033
EXPECVEM,,GUAIFENESINA,REGISTRADO,144930074,25351.361164/2023-56,AIRELA INDÚSTRIA FARMACÊUTICA LTDA. - 01.858.973/0001-29,Ativo,12/2033
AMPLATIL,,AMPICILINA SÓDICA,REGISTRADO,100410185,25351.936039/2020-60,FRESENIUS KABI BRASIL LTDA - 49.324.221/0001-04,Ativo,11/2029
mesilato de rasagilina,,mesilato de rasagilina,REGISTRADO,155730052,25351.207571/2020-76,TEVA FARMACÊUTICA LTDA. - 05.333.542/0001-08,Ativo,05/2030
paracetamol + carisoprodol + diclofenaco sódico + cafeína,,"PARACETAMOL, CARISOPRODOL, DICLOFENACO SÓDICO, CAFEÍNA",REGISTRADO,154230325,25351.781287/2021-48,GEOLAB INDÚSTRIA FARMACÊUTICA S/A - 03.485.572/0001-04,Ativo,11/2031
ROVAMICINA,,ESPIRAMICINA,REGISTRADO,183260363,25351.190540/2019-35,SANOFI MEDLEY FARMACÊUTICA LTDA. - 10.588.595/0010-92,Ativo,10/2025
DORMONID,,"MALEATO DE MIDAZOLAM, MIDAZOLAM",REGISTRADO,103900204,25351.396336/2019-26,FARMOQUÍMICA S/A - 33.349.473/0001-58,Ativo,01/2035
dropropizina,,DROPROPIZINA,REGISTRADO,102351396,25351.726931/2021-15,EMS S/A - 57.507.378/0003-65,Ativo,02/2032
Nitrato de Miconazol creme vaginal,,NITRATO DE MICONAZOL 20 MG/G (CREME VAGINAL) C,NOTIFICADO,         ,,BELFAR LTDA - 18.324.343/0001-77,Ativo,06/2033
RIDUZI,,FENOFIBRATO,REGISTRADO,105250107,25351.437245/2020-91,TORRENT DO BRASIL LTDA - 33.078.528/0001-32,Ativo,02/2033
WOSULIN N,,insulina isofana,REGISTRADO,166740001,25351.086080/2019-41,"GERAIS, COMÉRCIO E IMPORTAÇÃO DE MATERIAIS E EQUIPAMENTOS MEDICOS LTDA - 04.491.780/0001-70",Ativo,10/2028
DIPIRONA,,"DIPIRONA, dipirona monoidratada",REGISTRADO,155840683,25351.362667/2024-20,BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A - 05.161.069/0001-10,Ativo,10/2034
AQUALAV,,ÁGUA PURIFICADA C,NOTIFICADO,         ,,JP INDUSTRIA FARMACEUTICA S/A - 55.972.087/0001-50,Ativo,02/2027
AZOD,,CLORIDRATO DE TRAZODONA,REGISTRADO,103720309,25351.848725/2021-65,SUPERA FARMA LABORATÓRIOS S.A - 43.312.503/0001-05,Ativo,11/2032
MALEATO DE ENALAPRIL,,MALEATO DE ENALAPRIL,REGISTRADO,118190346,25351.065395/2022-51,MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA - 92.265.552/0009-05,Ativo,08/2026
FULVY,,FULVESTRANTO,REGISTRADO,155370098,25351.424029/2021-67,ACCORD FARMACÊUTICA LTDA - 64.171.697/0001-46,Ativo,06/2031
furoato de mometasona,,FUROATO DE MOMETASONA MONOIDRATADO,REGISTRADO,155840699,25351.043043/2025-97,BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A - 05.161.069/0001-10,Ativo,07/2035
SUAVICID,,"HIDROQUINONA, TRETINOÍNA, fluocinolona acetonida",REGISTRADO,167730078,25351.550720/2008-28,LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA - 05.044.984/0001-26,Ativo,03/2029
BROMETO DE PINAVERIO,,BROMETO DE PINAVÉRIO,REGISTRADO,103700581,25351.531775/2011-81,LABORATÓRIO TEUTO BRASILEIRO S/A - 17.159.229/0001-76,Ativo,07/2027
Cloridrato de dexmedetomidina,,CLORIDRATO DE DEXMEDETOMIDINA,REGISTRADO,105730662,25351.860760/2018-57,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A - 60.659.463/0029-92,Ativo,03/2027
EPCLUSA,,"sofosbuvir, VELPATASVIR",REGISTRADO,109290003,25351.259781/2017-44,GILEAD SCIENCES FARMACEUTICA DO BRASIL LTDA - 15.670.288/0001-89,Ativo,06/2028
EVOCARB,,CARBOPLATINA,REGISTRADO,116880026,25351.037824/2018-13,FARMARIN INDUSTRIA E COMERCIO LTDA - 58.635.830/0001-75,Ativo,07/2028
HOPEM,,pemetrexede dissódico hemipentaidratado,REGISTRADO,165070029,25351.743989/2019-17,Camber Farmaceutica Ltda - 24.633.934/0001-29,Ativo,03/2034
fenilbutazona cálcica,,FENILBUTAZONA CÁLCICA,REGISTRADO,103920204,25351.570280/2022-83,VITAMEDIC INDUSTRIA FARMACEUTICA LTDA - 30.222.814/0001-31,Ativo,07/2032
AIR SALONPAS,,"LEVOMENTOL, CÂNFORA, SALICILATO DE METILA, SALICILATO DE ETILENOGLICOL",REGISTRADO,110520004,25351.635106/2021-11,HISAMITSU FARMACÊUTICA DO BRASIL LTDA - 49.383.250/0001-47,Ativo,01/2033
Ilaris,,canaquinumabe,REGISTRADO,100681068,25351.129584/2009-96,NOVARTIS BIOCIENCIAS S.A - 56.994.502/0001-30,Ativo,02/2030
sugamadex sódico,,SUGAMADEX SÓDICO,REGISTRADO,165070020,25351.617353/2021-27,Camber Farmaceutica Ltda - 24.633.934/0001-29,Ativo,05/2032
hidroclorotiazida,,HIDROCLOROTIAZIDA,REGISTRADO,167730471,25351.328363/2015-42,LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA - 05.044.984/0001-26,Ativo,11/2026
cloridrato de metformina,,CLORIDRATO DE METFORMINA,REGISTRADO,105830946,25351.613415/2018-26,GERMED FARMACEUTICA LTDA - 45.992.062/0001-65,Ativo,11/2028
FARMAIODINE FARMAX,,IODOPOLIVIDONA 10% (SOLUÇÃO AQUOSA) C,NOTIFICADO,         ,,FARMAX S.A. - 21.759.758/0001-88,Ativo,12/2034
carbamazepina,,CARBAMAZEPINA,REGISTRADO,105830847,25351.402601/2015-99,GERMED FARMACEUTICA LTDA - 45.992.062/0001-65,Ativo,12/2026
conidrin 3%,,SOLUÇÃO NASAL DE CLORETO DE SÓDIO 3% C,NOTIFICADO,         ,,UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A - 60.665.981/0001-18,Ativo,07/2035
IVB - INSULINA HUMANA R,,INSULINA HUMANA,REGISTRADO,104070111,25351.415294/2019-30,INSTITUTO VITAL BRAZIL S/A - 30.064.034/0001-00,Ativo,08/2029
levofloxacino,,levofloxacino hemi-hidratado,REGISTRADO,100681128,25351.405229/2016-53,NOVARTIS BIOCIENCIAS S.A - 56.994.502/0001-30,Ativo,01/2027
ÁGUA OXIGENADA 10 VOLUMES,,SOLUÇÃO DE PERÓXIDO DE HIDROGÊNIO 3% C,NOTIFICADO,         ,,VIC PHARMA INDUSTRIA E COMERCIO LTDA - 39.032.974/0001-92,Ativo,11/2031
COLPOFEM,,PROMESTRIENO,REGISTRADO,114620045,25351.372586/2020-12,MYRALIS INDÚSTRIA FARMACÊUTICA LTDA - 17.440.261/0001-25,Ativo,11/2033
TITENIL,,TENOXICAM,REGISTRADO,154230346,25351.657054/2022-14,GEOLAB INDÚSTRIA FARMACÊUTICA S/A - 03.485.572/0001-04,Ativo,06/2033
ÁCIDO TRANEXÂMICO,,ÁCIDO TRANEXÂMICO,REGISTRADO,113430186,25351.718604/2009-55,HIPOLABOR FARMACEUTICA LTDA - 19.570.720/0001-10,Ativo,04/2028
KETALGI,,ETODOLACO,REGISTRADO,103720315,25351.251421/2024-23,SUPERA FARMA LABORATÓRIOS S.A - 43.312.503/0001-05,Ativo,08/2034
KUVAN,,dicloridrato de sapropterina,REGISTRADO,173330004,25351.717386/2019-51,BIOMARIN BRASIL FARMACÊUTICA LTDA - 08.002.360/0001-34,Ativo,01/2026
VICTOZA,,liraglutida,REGISTRADO,117660028,25351.765063/2008-44,NOVO NORDISK FARMACÊUTICA DO BRASIL LTDA - 82.277.955/0001-55,Ativo,04/2030
NERVOCALM WP LAB,,"ARGENTUM NITRICUM 6C, KALI BROMATUM 6C",NOTIFICADO,         ,,HOMEOPATIA WALDEMIRO PEREIRA LABORATORIO INDUSTRIAL FARMACEUTICO LTDA - 76.440.528/0001-43,Ativo,06/2032
Tebbe,,CLORIDRATO DE MEMANTINA,REGISTRADO,183260304,25351.848195/2016-17,SANOFI MEDLEY FARMACÊUTICA LTDA. - 10.588.595/0010-92,Ativo,04/2029
bromidrato de citalopram,,BROMIDRATO DE CITALOPRAM,REGISTRADO,103700611,25351.213210/2011-68,LABORATÓRIO TEUTO BRASILEIRO S/A - 17.159.229/0001-76,Ativo,01/2030
